method,delta_t,seed,escaped,escape_time,escape_index,attempted_steps,rejected_steps,rejection_fraction
direct,0.004,1117257062,True,0.710422806790094,1,178,0,0.0
equivalent,0.004,1117257062,True,0.6,1,150,0,0.0
direct,0.004,1739813875,True,0.22427538995549656,0,57,0,0.0
equivalent,0.004,1739813875,True,0.148,0,37,0,0.0
direct,0.004,1419349886,True,2.595536461385101,0,649,69,0.10631741140215717
equivalent,0.004,1419349886,True,1.532,0,383,28,0.0731070496083551
direct,0.004,1077354921,True,0.8367075879493046,0,210,14,0.06666666666666667
equivalent,0.004,1077354921,True,0.8320000000000001,0,208,14,0.0673076923076923
direct,0.004,1178390433,True,0.28758666504105707,1,72,2,0.027777777777777776
equivalent,0.004,1178390433,True,0.28,1,70,2,0.02857142857142857
direct,0.004,1139688365,True,1.1918351774538551,0,298,26,0.087248322147651
equivalent,0.004,1139688365,True,1.06,0,265,20,0.07547169811320754
direct,0.004,3613669329,True,0.0872493204680403,1,22,1,0.045454545454545456
equivalent,0.004,3613669329,True,0.08,1,20,1,0.05
direct,0.004,4057879167,True,2.939778302920907,1,735,82,0.11156462585034013
equivalent,0.004,4057879167,True,2.94,1,735,82,0.11156462585034013
direct,0.004,497110069,True,0.1546955257309351,1,39,0,0.0
equivalent,0.004,497110069,True,0.14400000000000002,1,36,0,0.0
direct,0.004,2986755770,True,3.7972409287805005,1,950,61,0.06421052631578947
equivalent,0.004,2986755770,True,0.18,0,45,0,0.0
direct,0.004,3703391142,True,0.2023946794746565,1,51,0,0.0
equivalent,0.004,3703391142,True,0.17200000000000001,1,43,0,0.0
direct,0.004,4075485789,True,2.4580404601712327,1,615,42,0.06829268292682927
equivalent,0.004,4075485789,True,0.912,0,228,13,0.05701754385964912
direct,0.002,1734295287,True,1.022637084047648,1,512,22,0.04296875
equivalent,0.002,1734295287,True,0.438,0,219,7,0.0319634703196347
direct,0.002,4050829272,True,3.55353983469239,0,1777,64,0.03601575689364097
equivalent,0.002,4050829272,True,3.548,0,1774,63,0.03551296505073281
direct,0.002,863719853,True,0.4179213490004986,0,209,0,0.0
equivalent,0.002,863719853,True,0.406,0,203,0,0.0
direct,0.002,251390282,True,0.23291059374322629,0,117,0,0.0
equivalent,0.002,251390282,True,0.23,0,115,0,0.0
direct,0.002,3205418113,True,0.46001109544295854,1,231,7,0.030303030303030304
equivalent,0.002,3205418113,True,0.458,1,229,7,0.03056768558951965
direct,0.002,3442792960,True,1.3569302364630225,1,679,11,0.016200294550810016
equivalent,0.002,3442792960,True,1.34,1,670,11,0.016417910447761194
direct,0.002,217835889,True,0.7769771428811696,1,389,42,0.10796915167095116
equivalent,0.002,217835889,True,0.14,0,70,4,0.05714285714285714
direct,0.002,2615534499,True,0.42083745049576415,0,211,11,0.052132701421800945
equivalent,0.002,2615534499,True,0.18,0,90,2,0.022222222222222223
direct,0.002,1478138432,True,0.35594935168328523,0,178,0,0.0
equivalent,0.002,1478138432,True,0.08,0,40,0,0.0
direct,0.002,2729924504,True,1.5939616364252511,0,797,19,0.02383939774153074
equivalent,0.002,2729924504,True,0.794,1,397,11,0.027707808564231738
direct,0.002,1768946074,True,2.5475556158178825,0,1274,50,0.03924646781789639
equivalent,0.002,1768946074,True,0.098,1,49,2,0.04081632653061224
direct,0.002,704437506,True,0.5910498384073565,1,296,22,0.07432432432432433
equivalent,0.002,704437506,True,0.05,1,25,0,0.0
direct,0.001,1058117336,True,1.2475133370082963,1,1248,59,0.047275641025641024
equivalent,0.001,1058117336,True,0.17200000000000001,1,172,0,0.0
direct,0.001,3737085062,True,0.9135890590341729,1,914,47,0.05142231947483589
equivalent,0.001,3737085062,True,0.46900000000000003,1,469,38,0.08102345415778252
direct,0.001,722459123,True,0.20059330878519638,0,201,6,0.029850746268656716
equivalent,0.001,722459123,True,0.2,0,200,6,0.03
direct,0.001,532809295,True,2.629469863040144,0,2630,51,0.019391634980988594
equivalent,0.001,532809295,True,2.287,0,2287,49,0.021425448185395716
direct,0.001,2524652648,True,1.4564174054234629,1,1457,66,0.045298558682223745
equivalent,0.001,2524652648,True,0.077,1,77,0,0.0
direct,0.001,2400190629,True,1.190926198594245,1,1191,30,0.02518891687657431
equivalent,0.001,2400190629,True,1.172,1,1172,30,0.025597269624573378
direct,0.001,697410702,True,3.0278692282796262,0,3028,30,0.009907529722589167
equivalent,0.001,697410702,True,0.971,0,971,8,0.008238928939237899
direct,0.001,1925496482,True,0.7372246024477258,1,738,21,0.028455284552845527
equivalent,0.001,1925496482,True,0.663,1,663,12,0.01809954751131222
direct,0.001,961428310,True,1.6185644837103776,1,1619,48,0.02964793082149475
equivalent,0.001,961428310,True,1.226,1,1226,46,0.037520391517128875
direct,0.001,2752819375,True,0.3538085544017463,0,354,2,0.005649717514124294
equivalent,0.001,2752819375,True,0.33,0,330,2,0.006060606060606061
direct,0.001,905563065,True,0.8309131755283461,0,831,23,0.027677496991576414
equivalent,0.001,905563065,True,0.79,0,790,21,0.026582278481012658
direct,0.001,3336728789,True,0.1307272981620169,1,131,0,0.0
equivalent,0.001,3336728789,True,0.128,1,128,0,0.0
direct,0.0005,1115825419,True,0.4583121146158426,0,917,16,0.017448200654307525
equivalent,0.0005,1115825419,True,0.40700000000000003,0,814,12,0.014742014742014743
direct,0.0005,4209236425,True,0.4072286742383149,0,815,0,0.0
equivalent,0.0005,4209236425,True,0.4025,0,805,0,0.0
direct,0.0005,1958277543,True,1.4358471843021912,0,2872,6,0.0020891364902506965
equivalent,0.0005,1958277543,True,0.2635,1,527,1,0.0018975332068311196
direct,0.0005,2852859683,True,0.1525086021746821,0,306,1,0.0032679738562091504
equivalent,0.0005,2852859683,True,0.1385,0,277,0,0.0
direct,0.0005,2224261417,True,1.0772689922818046,1,2155,35,0.016241299303944315
equivalent,0.0005,2224261417,True,1.028,1,2056,35,0.017023346303501944
direct,0.0005,3907994052,True,1.1202953364187074,1,2241,45,0.020080321285140562
equivalent,0.0005,3907994052,True,1.1065,1,2213,45,0.02033438770899232
direct,0.0005,709315727,True,2.3446157979855977,0,4690,73,0.01556503198294243
equivalent,0.0005,709315727,True,1.053,1,2106,36,0.017094017094017096
direct,0.0005,970322932,True,2.0273568852877912,1,4055,71,0.01750924784217016
equivalent,0.0005,970322932,True,0.7175,1,1435,27,0.018815331010452963
direct,0.0005,3347600977,True,0.5643969537210695,1,1129,78,0.06908768821966342
equivalent,0.0005,3347600977,True,0.14150000000000001,1,283,7,0.024734982332155476
direct,0.0005,2242053229,True,1.2152035152035119,1,2431,55,0.02262443438914027
equivalent,0.0005,2242053229,True,0.5335,0,1067,12,0.011246485473289597
direct,0.0005,2767824752,True,2.6746128359008052,1,5350,37,0.006915887850467289
equivalent,0.0005,2767824752,True,0.08,0,160,0,0.0
direct,0.0005,571358767,True,0.20594241594600124,1,412,0,0.0
equivalent,0.0005,571358767,True,0.1985,1,397,0,0.0
