parameter_name,parameter_value,replica,seed,success,physical_time,biased_time,acceleration_factor,integration_steps,n_deposited_gaussians,W,sigma
sigma,1e-05,0,1929776942,True,1.3659999999999604,1.366,0.9999999999999709,1366,68,0.3,1e-05
sigma,1e-05,1,2265548563,True,1.1190000222784013,1.119,1.0000000199092058,1119,55,0.3,1e-05
sigma,1e-05,2,214490352,True,2.0680338902686186,2.068,1.0000163879442063,2068,103,0.3,1e-05
sigma,1e-05,3,1799337411,True,0.6950000000000005,0.6950000000000001,1.0000000000000007,695,34,0.3,1e-05
sigma,1e-05,4,3124528864,True,1.0904107292473824,1.09,1.0003768158232864,1090,54,0.3,1e-05
sigma,1e-05,5,793191029,True,0.8020000000000006,0.802,1.0000000000000007,802,40,0.3,1e-05
sigma,1e-05,6,142968425,True,0.5020000000000003,0.502,1.0000000000000007,502,25,0.3,1e-05
sigma,1e-05,7,3215305857,True,0.6911608198076762,0.6910000000000001,1.0002327348880986,691,34,0.3,1e-05
sigma,1e-05,8,459844448,True,0.42028119057220564,0.42,1.0006695013623945,420,20,0.3,1e-05
sigma,1e-05,9,1187538928,True,1.1443790026432172,1.1440000000000001,1.0003312960167983,1144,57,0.3,1e-05
sigma,1.4070559893652868e-05,0,3676389615,True,1.589050260481543,1.589,1.000031630258995,1589,79,0.3,1.4070559893652868e-05
sigma,1.4070559893652868e-05,1,1190633093,True,1.0220112212080525,1.022,1.0000109796556287,1022,51,0.3,1.4070559893652868e-05
sigma,1.4070559893652868e-05,2,1263935736,True,2.2469856072082774,2.246,1.0004388277864102,2246,112,0.3,1.4070559893652868e-05
sigma,1.4070559893652868e-05,3,4067416067,True,1.4024125552287312,1.4020000000000001,1.0002942619320478,1402,70,0.3,1.4070559893652868e-05
sigma,1.4070559893652868e-05,4,2725242580,True,0.9803497895988704,0.98,1.0003569281621127,980,48,0.3,1.4070559893652868e-05
sigma,1.4070559893652868e-05,5,1340780647,True,1.4422065819869516,1.442,1.000143260739911,1442,72,0.3,1.4070559893652868e-05
sigma,1.4070559893652868e-05,6,2707776597,True,1.0870159974157485,1.087,1.0000147170338074,1087,54,0.3,1.4070559893652868e-05
sigma,1.4070559893652868e-05,7,426945693,True,0.7200000391410017,0.72,1.0000000543625025,720,35,0.3,1.4070559893652868e-05
sigma,1.4070559893652868e-05,8,4143786567,True,1.5440667266030288,1.544,1.0000432167118063,1544,77,0.3,1.4070559893652868e-05
sigma,1.4070559893652868e-05,9,3568054946,True,0.9681030642029722,0.968,1.0001064712840622,968,48,0.3,1.4070559893652868e-05
sigma,1.9798065572087262e-05,0,4206599473,True,0.32327510262982306,0.323,1.0008517109282447,323,16,0.3,1.9798065572087262e-05
sigma,1.9798065572087262e-05,1,3055627459,True,0.9931537308950205,0.993,1.0001548145972008,993,49,0.3,1.9798065572087262e-05
sigma,1.9798065572087262e-05,2,972072012,True,1.2603024103563394,1.26,1.000240008219317,1260,62,0.3,1.9798065572087262e-05
sigma,1.9798065572087262e-05,3,3776749512,True,0.06430265588630589,0.064,1.0047289982235295,64,3,0.3,1.9798065572087262e-05
sigma,1.9798065572087262e-05,4,655221636,True,0.7460407495803989,0.746,1.0000546241024113,746,37,0.3,1.9798065572087262e-05
sigma,1.9798065572087262e-05,5,3783913592,True,1.8048547180254968,1.804,1.0004737904797654,1804,90,0.3,1.9798065572087262e-05
sigma,1.9798065572087262e-05,6,2196687772,True,0.23100110786984862,0.231,1.0000047959733707,231,11,0.3,1.9798065572087262e-05
sigma,1.9798065572087262e-05,7,2443134756,True,1.6410979738657985,1.641,1.0000597037573422,1641,82,0.3,1.9798065572087262e-05
sigma,1.9798065572087262e-05,8,3589604789,True,0.27000756786949726,0.27,1.000028029146286,270,13,0.3,1.9798065572087262e-05
sigma,1.9798065572087262e-05,9,2932957808,True,1.0917818109282527,1.091,1.0007166003008732,1091,54,0.3,1.9798065572087262e-05
sigma,2.785698674105207e-05,0,976800299,True,0.6343379693122744,0.634,1.0005330746250385,634,31,0.3,2.785698674105207e-05
sigma,2.785698674105207e-05,1,3428914532,True,0.31323150106314634,0.313,1.0007396200100522,313,15,0.3,2.785698674105207e-05
sigma,2.785698674105207e-05,2,1986809290,True,0.14108438499891265,0.14100000000000001,1.000598475169593,141,7,0.3,2.785698674105207e-05
sigma,2.785698674105207e-05,3,3559364308,True,0.7931459747379365,0.793,1.0001840791146739,793,39,0.3,2.785698674105207e-05
sigma,2.785698674105207e-05,4,2078317603,True,1.5263070389357967,1.5250000000000001,1.0008570747119978,1525,76,0.3,2.785698674105207e-05
sigma,2.785698674105207e-05,5,182404097,True,1.0862585704067305,1.086,1.0002380942971734,1086,54,0.3,2.785698674105207e-05
sigma,2.785698674105207e-05,6,3956879838,True,0.635384242533781,0.635,1.000605106352411,635,31,0.3,2.785698674105207e-05
sigma,2.785698674105207e-05,7,2297225257,True,0.4830074485716939,0.483,1.0000154214734864,483,24,0.3,2.785698674105207e-05
sigma,2.785698674105207e-05,8,3457293562,True,1.7262757762960157,1.726,1.0001597776917819,1726,86,0.3,2.785698674105207e-05
sigma,2.785698674105207e-05,9,1823906773,True,0.7060000000000005,0.706,1.0000000000000009,706,35,0.3,2.785698674105207e-05
sigma,3.9196340039666694e-05,0,2743881518,True,0.7231054055452489,0.723,1.0001457891358907,723,36,0.3,3.9196340039666694e-05
